Rank,School Name,Female faculty (%),International mobility rank,Salary today (US$) **,International students (%),Weighted salary (US$),International board (%),Value for money rank,Audit year *,Career progress rank,FT research rank,Aims achieved (%),Sector diversity rank,"Location, by primary campus",Alumni network rank,International faculty (%),ESG and net zero teaching rank,Careers service rank,Overall satisfaction **,Carbon footprint rank,Rank in 2022,Faculty with doctorates (%),Female students (%),International course experience rank,Women on board (%),Rank in 2021,Three-year average rank
1,Columbia Business School,26,49,"228,425",57,"226,359",39,80,"2,019",15,2,91,79,US,18,58,78,23,9.51,53,2,96,44,48,19,,
2,Insead,22,9,"202,568",95,"198,363",89,15,"2,020",38,8,89,84,France/Singapore,22,90,9,43,9.31,53,3,99,36,7,50,1,2
3,Iese Business School,33,19,"182,278",88,"181,270",90,92,"2,022",16,54,90,8,Spain,8,73,2,5,9.61,6,10,100,37,5,29,4,6
4,Harvard Business School,33,58,"235,177",38,"235,019",0 ‡,89,"2,018",4,1,91,97,US,26,40,87,20,9.69,14,3,88,46,57,0 ‡,,
4,Stanford Graduate School of Business,26,56,"253,435",46,"248,669",25,72,"2,022",2,7,93,97,US,3,45,28,11,9.98,53,6,89,44,27,31,,
6,SDA Bocconi School of Management,41,32,"192,815",72,"192,815",77,6,"2,019",58,22,85,11,Italy,46,45,33,18,9.28,2,13,99,35,9,46,12,10
7,University of California at Berkeley: Haas,33,34,"213,321",50,"213,321",33,74,"2,017",22,14,90,62,US,35,49,42,39,9.02,6,14,90,46,49,43,,
8,Cornell University: Johnson,25,70,"192,164",53,"193,293",39,69,"2,017",52,3,92,76,US,1,48,79,3,9.94,32,17,100,39,39,25,15,13
9,"Northwestern University, Kellogg School of Management",23,68,"211,718",48,"209,337",27,88,"2,019",23,9,90,39,US,9,51,17,9,9.59,53,5,100,48,35,44,6,7
10,Yale School of Management,31,55,"199,332",48,"196,659",46,86,"2,018",26,11,91,45,US,21,44,15,44,9.25,32,9,100,43,36,24,4,8
11,Duke University's Fuqua School of Business,22,64,"195,308",53,"196,754",59,91,"2,017",34,10,91,18,US,45,43,73,17,9.18,4,19,99,48,45,28,9,13
11,MIT: Sloan,26,52,"207,100",40,"207,100",51,98,"2,019",5,13,91,69,US,25,44,64,66,9.33,14,11,100,46,70,25,,
